dataset,input_dim,replicate,width,level_type,threshold,optimization_proxy,eligible_models,pair_index,model_left,model_right,endpoint_left,endpoint_right,sampled_path_max,certified_path_upper,certificate_width,sampled_gap,certified_gap_upper,direct_sampled_max,direct_certified_upper,direct_certificate_width,direct_certified_gap_upper,proof_node_max,proof_certified_upper,proof_certificate_width,proof_certified_gap_upper,proof_path_nodes,proof_bridge_width,proof_reference_objective,certified_below_level,unresolved_segments,trained_midpoints,path_nodes
ridge_teacher_binary,1,7,64,fixed,0.5961500282892952,0.5961500197619644,8,1,3,1,0.5961500197647982,0.596150024335778,0.5961597611392513,0.5961783600677444,1.8598928493096523e-05,9.732849956090028e-06,2.833177844918655e-05,0.6222631138747267,0.6259956681546452,0.0037325542799185873,0.02984563986535005,0.596150024335778,0.596150024335778,0.0,0.0,141,4,0.596150019925957,False,125,14,129
ridge_teacher_binary,1,7,64,fixed,0.5961500282892952,0.5961500197619644,8,2,5,0,0.5961500375154583,0.5961500202042735,0.5961578718493363,0.5961817058478969,2.3833998560540692e-05,7.843560041131958e-06,3.167755860167265e-05,0.6287058399640421,0.6330619731097037,0.004356133145661634,0.03691194482040849,0.5961500375154583,0.5961500375154583,0.0,9.226163055764403e-09,165,4,0.596150019925957,False,128,16,129
ridge_teacher_binary,1,7,64,moving,0.5978828927430196,0.5961500197619644,8,0,3,7,0.5961500197647982,0.5961500205171438,0.5978662764302497,0.5978924149020243,2.6138471774572736e-05,0.0,9.522159004626829e-06,0.6315984187137944,0.6360864108036328,0.004487992089838411,0.03820351806061317,0.5961500205171439,0.5961500205171439,0.0,0.0,150,4,0.596150019925957,True,0,5,44
ridge_teacher_binary,1,7,64,moving,0.5978828927430196,0.5961500197619644,8,1,1,6,0.596150024335778,0.596150020370915,0.5978828482935525,0.597897741808991,1.4893515438485494e-05,0.0,1.4849065971378472e-05,0.6326397774702843,0.6372144811502866,0.0045747036800022345,0.039331588407266915,0.596150024335778,0.596150024335778,0.0,0.0,150,2,0.5961500218374359,False,2,7,35
ridge_teacher_binary,1,7,64,moving,0.5978828927430196,0.5961500197619644,8,2,0,2,0.5961500202042735,0.5961500209021209,0.5978460685186977,0.5978901715559726,4.410303727486742e-05,0.0,7.27881295292665e-06,0.6241032581270113,0.62833523687912,0.004231978752108678,0.030452344136100318,0.5961500209021209,0.5961500209021209,0.0,0.0,153,4,0.596150019925957,True,0,5,24
ridge_teacher_binary,1,7,128,fixed,0.5961500282892952,0.5961500197619644,8,0,4,2,0.5961500198956515,0.5961500197950989,0.5961569194580648,0.5961783835833987,2.146412533388098e-05,6.891168769618261e-06,2.835529410349924e-05,0.618694622182038,0.6229603923611825,0.004265770179144535,0.026810364071887305,0.596150019925957,0.596150019925957,0.0,0.0,198,4,0.596150019925957,False,128,13,129
ridge_teacher_binary,1,7,128,fixed,0.5961500282892952,0.5961500197619644,8,1,0,5,0.5961500197752455,0.5961500207608296,0.5961599186424483,0.5961789642945488,1.9045652100424526e-05,9.890353153130249e-06,2.8936005253554775e-05,0.6188281424646962,0.6232444219903195,0.00441627952562329,0.02709439370102429,0.5961500207608296,0.5961500207608296,0.0,0.0,213,4,0.596150019925957,False,128,14,129
ridge_teacher_binary,1,7,128,fixed,0.5961500282892952,0.5961500197619644,8,2,7,1,0.5961500197810309,0.5961500238158928,0.596157133823036,0.5961792560525592,2.2122229523136028e-05,7.105533740836556e-06,2.9227763263972584e-05,0.6245888464870614,0.6290737080270422,0.0044848615399808445,0.032923679737747014,0.5961500238158928,0.5961500238158928,0.0,0.0,228,4,0.596150019925957,False,128,13,129
ridge_teacher_binary,1,7,128,moving,0.597375345967672,0.5961500197619644,8,0,6,4,0.5961500197824773,0.5961500198956515,0.5973657852172699,0.597383348619433,1.7563402163078834e-05,0.0,8.00265176104098e-06,0.6158312280051457,0.6197365082381425,0.003905280232996855,0.02236116227047058,0.5961500198956516,0.5961500198956516,0.0,0.0,198,8,0.5961500197739396,True,0,5,48
ridge_teacher_binary,1,7,128,moving,0.597375345967672,0.5961500197619644,8,1,1,7,0.5961500238158928,0.5961500197810309,0.5973743920126109,0.5973910699587132,1.667794610227258e-05,0.0,1.572399104121658e-05,0.6245888464870614,0.6290737080270422,0.0044848615399808445,0.031698362059370266,0.5961500238158928,0.5961500238158928,0.0,0.0,228,2,0.5961500218374359,False,7,6,57
ridge_teacher_binary,1,7,128,moving,0.597375345967672,0.5961500197619644,8,2,0,2,0.5961500197752455,0.5961500197950989,0.5973436294331859,0.5973784573532485,3.482792006259672e-05,0.0,3.1113855765152465e-06,0.6176188856810834,0.6218011381028091,0.004182252421725763,0.02442579213513718,0.5961500197950989,0.5961500197950989,0.0,0.0,207,8,0.5961500197739396,True,0,5,35
ridge_teacher_binary,1,8,8,fixed,0.5961500282892952,0.5961500197619644,8,0,0,5,0.5961500249838344,0.596150089116747,0.5961596261199296,0.5961802570201927,2.0630900263163277e-05,9.597830634366922e-06,3.0228730897530198e-05,0.6330064075831353,0.635621739707646,0.0026153321245107053,0.03947171141835082,0.6786027195393975,0.6786027195393975,0.0,0.08245269125010235,11,4,0.596150019925957,False,104,12,115
ridge_teacher_binary,1,8,8,fixed,0.5961500282892952,0.5961500197619644,8,1,6,4,0.596150033315448,0.5961500259081163,0.5961599200504496,0.5961857828070999,2.586275665028559e-05,9.89176115440138e-06,3.575451780468697e-05,0.6445934506685927,0.6477547496148633,0.0031612989462705965,0.05160472132556815,0.678684900880134,0.678684900880134,0.0,0.0825348725908388,11,4,0.596150019925957,False,103,16,117
ridge_teacher_binary,1,8,8,fixed,0.5961500282892952,0.5961500197619644,8,2,1,2,0.5961500246389899,0.5961500217031662,0.5961599740991027,0.5961876605381551,2.7686439052376777e-05,9.945809807510031e-06,3.763224885988681e-05,0.6527520237383468,0.6568566074032062,0.004104583664859329,0.060706579113910974,0.678651660782778,0.678651660782778,0.0,0.08250163249348286,14,4,0.596150019925957,False,104,17,121
ridge_teacher_binary,1,8,8,moving,0.6010513190066379,0.5961500197619644,8,0,7,5,0.5961500208276576,0.596150089116747,0.6009770528243068,0.6010246739794924,4.762115518563981e-05,0.0,0.0,0.6111462617195902,0.6132110801429483,0.00206481842335815,0.012159761136310454,0.596150089116747,0.596150089116747,0.0,0.0,23,2,0.5961500218374359,True,0,4,9
ridge_teacher_binary,1,8,8,moving,0.6010513190066379,0.5961500197619644,8,1,3,1,0.5961500246707844,0.5961500246389899,0.6010478132735464,0.6010608081478319,1.2994874285521263e-05,0.0,9.489141194030104e-06,0.6250060972134616,0.6278314916100145,0.0028253943965529382,0.026780172603376617,0.5961500246707844,0.5961500246707844,0.0,0.0,26,2,0.5961500218374359,True,0,10,29
ridge_teacher_binary,1,8,8,moving,0.6010513190066379,0.5961500197619644,8,2,4,2,0.5961500259081163,0.5961500217031662,0.6010606921446141,0.6010654666986224,4.774554008268872e-06,9.373137976220747e-06,1.4147691984489619e-05,0.6185353265539681,0.6209709684536078,0.002435641899639629,0.01991964944696989,0.5961500259081163,0.5961500259081163,0.0,0.0,23,2,0.5961500218374359,False,3,4,22
ridge_teacher_binary,1,8,16,fixed,0.5961500282892952,0.5961500197619644,8,0,7,2,0.5961500266235532,0.5961500322827796,0.5961589821123149,0.5961774871404508,1.8505028135940016e-05,8.953823019686169e-06,2.7458851155626185e-05,0.6164076901138889,0.6191468948935571,0.0027392047796682695,0.022996866604261923,0.5961500322827796,0.5961500322827796,0.0,3.993484432029959e-09,58,4,0.596150019925957,False,82,13,119
ridge_teacher_binary,1,8,16,fixed,0.5961500282892952,0.5961500197619644,8,1,5,6,0.5961500199227086,0.5961500248481021,0.5961567387389297,0.5961835268062835,2.6788067353789025e-05,6.710449634517168e-06,3.349851698830619e-05,0.6386287851255197,0.6426989913191206,0.004070206193600878,0.04654896302982536,0.5961500248481021,0.5961500248481021,0.0,0.0,56,4,0.596150019925957,False,88,17,129
ridge_teacher_binary,1,8,16,fixed,0.5961500282892952,0.5961500197619644,8,2,0,4,0.5961500197975417,0.5961500215200088,0.5961585698123026,0.5961794350181748,2.0865205872189208e-05,8.541523007443708e-06,2.9406728879632915e-05,0.6170793168109769,0.6199472373626376,0.00286792055166063,0.023797209073342374,0.5961500215200088,0.5961500215200088,0.0,0.0,46,4,0.596150019925957,False,88,12,127
ridge_teacher_binary,1,8,16,moving,0.599615762526353,0.5961500197619644,8,0,2,3,0.5961500322827796,0.5961500318729861,0.5996096213587144,0.5996223011703764,1.2679811661975293e-05,0.0,6.538644023446061e-06,0.6136727502926551,0.616418452600991,0.002745702308335929,0.016802690074638083,0.5961500322827796,0.5961500322827796,0.0,0.0,72,2,0.5961500218374359,True,0,5,15
