dataset,input_dim,replicate,width,model_index,seed,objective,data_loss,l1_penalty,theta_l1,active_support,max_first_layer_norm,epochs_run,stop_reason,zero_objective
ridge_teacher_binary,1,1,128,6,21283756,0.596150026796317,0.5896164944785892,0.006533532317727804,3.266766158863902,39,1.0,406,patience,0.6931471805599453
ridge_teacher_binary,1,1,128,7,21283757,0.5961500198410328,0.5896146525216724,0.006535367319360375,3.2676836596801877,38,1.0,457,patience,0.6931471805599453
ridge_teacher_binary,1,2,8,0,21281637,0.5961500203009042,0.5896142884190473,0.006535731881856919,3.267865940928459,7,1.0,479,patience,0.6931471805599453
ridge_teacher_binary,1,2,8,1,21281638,0.5961500211839585,0.5896141114120393,0.00653590977191925,3.2679548859596252,7,1.0,483,patience,0.6931471805599453
ridge_teacher_binary,1,2,8,2,21281639,0.5961500262137633,0.58961395059192,0.006536075621843338,3.268037810921669,8,1.0,446,patience,0.6931471805599453
ridge_teacher_binary,1,2,8,3,21281640,0.596150020668645,0.5896153610445453,0.006534659624099732,3.2673298120498657,7,1.0,425,patience,0.6931471805599453
ridge_teacher_binary,1,2,8,4,21281641,0.5961500215546985,0.5896154781596561,0.006534543395042419,3.2672716975212097,7,1.0,449,patience,0.6931471805599453
ridge_teacher_binary,1,2,8,5,21281642,0.5961500227243387,0.5896157182843171,0.006534304440021515,3.2671522200107574,7,1.0,441,patience,0.6931471805599453
ridge_teacher_binary,1,2,8,6,21281643,0.5961500198639406,0.5896145229733957,0.006535496890544891,3.2677484452724457,8,1.0,468,patience,0.6931471805599453
ridge_teacher_binary,1,2,8,7,21281644,0.645946405520747,0.6427185883131722,0.0032278172075748445,1.6139086037874222,7,1.0,498,patience,0.6931471805599453
ridge_teacher_binary,1,2,16,0,21282445,0.5961500217678386,0.5896157278480368,0.006534293919801712,3.267146959900856,10,1.0,462,patience,0.6931471805599453
ridge_teacher_binary,1,2,16,1,21282446,0.5961500232615675,0.5896134524443354,0.006536570817232132,3.268285408616066,11,1.0,449,patience,0.6931471805599453
ridge_teacher_binary,1,2,16,2,21282447,0.5961500198894337,0.5896148792856529,0.006535140603780747,3.2675703018903732,12,1.0,480,patience,0.6931471805599453
ridge_teacher_binary,1,2,16,3,21282448,0.5961500243349268,0.5896138806892827,0.006536143645644188,3.268071822822094,11,1.0,456,patience,0.6931471805599453
ridge_teacher_binary,1,2,16,4,21282449,0.5961500354427459,0.5896125192064406,0.006537516236305237,3.2687581181526184,10,1.0,471,patience,0.6931471805599453
ridge_teacher_binary,1,2,16,5,21282450,0.5961500197814744,0.5896145931126516,0.006535426668822766,3.2677133344113827,12,1.0,467,patience,0.6931471805599453
ridge_teacher_binary,1,2,16,6,21282451,0.5961500198115959,0.5896148232092514,0.006535196602344513,3.2675983011722565,10,1.0,534,patience,0.6931471805599453
ridge_teacher_binary,1,2,16,7,21282452,0.596150021075607,0.5896145817035443,0.006535439372062683,3.2677196860313416,10,1.0,515,patience,0.6931471805599453
ridge_teacher_binary,1,2,32,0,21284061,0.5961500308224398,0.5896170401730972,0.006532990649342537,3.2664953246712685,17,1.0,456,patience,0.6931471805599453
ridge_teacher_binary,1,2,32,1,21284062,0.5961500336206861,0.5896160921431489,0.006533941477537155,3.2669707387685776,18,1.0,431,patience,0.6931471805599453
ridge_teacher_binary,1,2,32,2,21284063,0.5961500198906325,0.5896148825353049,0.006535137355327607,3.267568677663803,19,1.0,487,patience,0.6931471805599453
ridge_teacher_binary,1,2,32,3,21284064,0.5961500215615674,0.5896153690304203,0.006534652531147003,3.2673262655735016,17,1.0,428,patience,0.6931471805599453
ridge_teacher_binary,1,2,32,4,21284065,0.5961500208711132,0.5896145262157425,0.006535494655370713,3.267747327685356,15,1.0,501,patience,0.6931471805599453
ridge_teacher_binary,1,2,32,5,21284066,0.596150022811142,0.5896156021569644,0.006534420654177666,3.267210327088833,18,1.0,486,patience,0.6931471805599453
ridge_teacher_binary,1,2,32,6,21284067,0.5961500201933779,0.5896151240133443,0.006534896180033684,3.267448090016842,18,1.0,490,patience,0.6931471805599453
ridge_teacher_binary,1,2,32,7,21284068,0.5961500217081306,0.5896156195760963,0.006534402132034302,3.267201066017151,17,1.0,486,patience,0.6931471805599453
ridge_teacher_binary,1,2,64,0,21287293,0.596150021844522,0.5896143457861402,0.006535676058381796,3.267838029190898,24,1.0,436,patience,0.6931471805599453
ridge_teacher_binary,1,2,64,1,21287294,0.5961500214837179,0.5896147641218886,0.006535257361829281,3.2676286809146404,25,1.0,428,patience,0.6931471805599453
ridge_teacher_binary,1,2,64,2,21287295,0.5961500198361817,0.5896148851779642,0.00653513465821743,3.267567329108715,21,1.0,462,patience,0.6931471805599453
ridge_teacher_binary,1,2,64,3,21287296,0.5961500215047831,0.5896153589973087,0.006534662507474423,3.2673312537372112,25,1.0,467,patience,0.6931471805599453
ridge_teacher_binary,1,2,64,4,21287297,0.5961500576579437,0.5896147504619748,0.006535307195968926,3.267653597984463,27,1.0,516,patience,0.6931471805599453
ridge_teacher_binary,1,2,64,5,21287298,0.5961500210019798,0.5896154881495089,0.006534532852470875,3.2672664262354374,23,1.0,425,patience,0.6931471805599453
ridge_teacher_binary,1,2,64,6,21287299,0.5961500198180593,0.589614821435026,0.006535198383033276,3.267599191516638,26,1.0,487,patience,0.6931471805599453
ridge_teacher_binary,1,2,64,7,21287300,0.5961500223911868,0.5896139311529265,0.006536091238260269,3.2680456191301346,23,1.0,459,patience,0.6931471805599453
ridge_teacher_binary,1,2,128,0,21293757,0.5961500198361328,0.5896148839448443,0.006535135891288519,3.2675679456442595,36,1.0,419,patience,0.6931471805599453
