dataset,input_dim,replicate,width,model_index,reserve_neurons,support_before,support_after,cluster_size,cluster_diameter,objective_before,objective_after,objective_increase,positive_increase,lemma_upper_increment,bound_respected
ridge_teacher,1,1,64,7,4,15,15,0,0.0,0.11745109151375258,0.11745109151375258,0.0,0.0,0.0717803798498341,True
ridge_teacher,1,1,128,0,4,22,22,0,0.0,0.11745108849025117,0.11745108849025117,0.0,0.0,0.0359030218165025,True
ridge_teacher,1,1,128,1,4,23,23,0,0.0,0.11745108767927182,0.11745108767927182,0.0,0.0,0.035897076318320245,True
ridge_teacher,1,1,128,2,4,24,24,0,0.0,0.11745108779519754,0.11745108779519754,0.0,0.0,0.03589580240901784,True
ridge_teacher,1,1,128,3,4,24,24,0,0.0,0.11745108776519092,0.11745108776519092,0.0,0.0,0.035897772899220734,True
ridge_teacher,1,1,128,4,4,25,25,0,0.0,0.11745108927414165,0.11745108927414165,0.0,0.0,0.0359004935129209,True
ridge_teacher,1,1,128,5,4,24,24,0,0.0,0.11745108770350311,0.11745108770350311,0.0,0.0,0.03589842674932065,True
ridge_teacher,1,1,128,6,4,23,23,0,0.0,0.11745108786419488,0.11745108786419488,0.0,0.0,0.03589863022624964,True
ridge_teacher,1,1,128,7,4,25,25,0,0.0,0.11745108769144022,0.11745108769144022,0.0,0.0,0.0358970468413833,True
ridge_teacher,1,2,8,0,4,6,3,4,0.0,0.11745108801417221,0.11745108801417221,0.0,0.0,0.5743200977945283,True
ridge_teacher,1,2,8,1,4,6,3,4,0.0,0.11745108915251479,0.11745108915251479,0.0,0.0,0.574349384357798,True
ridge_teacher,1,2,8,2,4,5,3,3,0.0,0.11745108802539128,0.11745108802539128,0.0,0.0,0.5743093570011532,True
ridge_teacher,1,2,8,3,4,6,4,3,0.0,0.11745108801971534,0.11745108801971534,0.0,0.0,0.5743712515114903,True
ridge_teacher,1,2,8,4,4,5,3,3,0.0,0.11745108847761315,0.11745108847761315,0.0,0.0,0.574425869822828,True
ridge_teacher,1,2,8,5,4,5,3,3,0.0,0.11745108779509503,0.11745108779509503,0.0,0.0,0.5743972166909623,True
ridge_teacher,1,2,8,6,4,6,4,3,0.0,0.11745108796380341,0.11745108796380341,0.0,0.0,0.5743972098058384,True
ridge_teacher,1,2,8,7,4,3,3,0,0.0,0.1329233435149537,0.1329233435149537,0.0,0.0,0.2512581511202799,True
ridge_teacher,1,2,16,0,4,7,7,0,0.0,0.11745108851642119,0.11745108851642119,0.0,0.0,0.28715727970040805,True
ridge_teacher,1,2,16,1,4,9,9,0,0.0,0.11745108802319994,0.11745108802319994,0.0,0.0,0.2871599786689998,True
ridge_teacher,1,2,16,2,4,8,8,0,0.0,0.1174510885531987,0.1174510885531987,0.0,0.0,0.2871905203903672,True
ridge_teacher,1,2,16,3,4,7,7,0,0.0,0.1174510882402865,0.1174510882402865,0.0,0.0,0.2871711931589033,True
ridge_teacher,1,2,16,4,4,6,6,0,0.0,0.1174510879450498,0.1174510879450498,0.0,0.0,0.2871690629015506,True
ridge_teacher,1,2,16,5,4,9,9,0,0.0,0.11745108898108661,0.11745108898108661,0.0,0.0,0.2871395704730745,True
ridge_teacher,1,2,16,6,4,9,9,0,0.0,0.1174510876648355,0.1174510876648355,0.0,0.0,0.28718207423667924,True
ridge_teacher,1,2,16,7,4,9,9,0,0.0,0.11745108766529583,0.11745108766529583,0.0,0.0,0.2871815800569071,True
ridge_teacher,1,2,32,0,4,11,11,0,0.0,0.11745108783255523,0.11745108783255523,0.0,0.0,0.143599071799807,True
ridge_teacher,1,2,32,1,4,14,14,0,0.0,0.11745108775350828,0.11745108775350828,0.0,0.0,0.1435965501231572,True
ridge_teacher,1,2,32,2,4,11,11,0,0.0,0.11745109071927191,0.11745109071927191,0.0,0.0,0.14363139298146144,True
ridge_teacher,1,2,32,3,4,12,12,0,0.0,0.11745108779106227,0.11745108779106227,0.0,0.0,0.14359375510708627,True
ridge_teacher,1,2,32,4,4,10,10,0,0.0,0.11745108874109803,0.11745108874109803,0.0,0.0,0.1436121397650802,True
ridge_teacher,1,2,32,5,4,15,15,0,0.0,0.11745108960819375,0.11745108960819375,0.0,0.0,0.14356895764463745,True
ridge_teacher,1,2,32,6,4,13,13,0,0.0,0.11745108784997087,0.11745108784997087,0.0,0.0,0.1436010419780277,True
ridge_teacher,1,2,32,7,4,11,11,0,0.0,0.11745108846042893,0.11745108846042893,0.0,0.0,0.14357615500896742,True
ridge_teacher,1,2,64,0,4,18,18,0,0.0,0.11745108794279417,0.11745108794279417,0.0,0.0,0.07178952596243648,True
ridge_teacher,1,2,64,1,4,15,15,0,0.0,0.11745108766531483,0.11745108766531483,0.0,0.0,0.07179539269049744,True
ridge_teacher,1,2,64,2,4,16,16,0,0.0,0.11745108798071545,0.11745108798071545,0.0,0.0,0.07179830083776143,True
ridge_teacher,1,2,64,3,4,16,16,0,0.0,0.11745108781848695,0.11745108781848695,0.0,0.0,0.07179688529930758,True
ridge_teacher,1,2,64,4,4,20,20,0,0.0,0.11745108785498495,0.11745108785498495,0.0,0.0,0.0717968983810431,True
ridge_teacher,1,2,64,5,4,19,19,0,0.0,0.11745109001772225,0.11745109001772225,0.0,0.0,0.07178310397064427,True
ridge_teacher,1,2,64,6,4,17,17,0,0.0,0.117451087673539,0.117451087673539,0.0,0.0,0.07179451767730637,True
