width,percentile,threshold,pair,gap,barrier,hit_max_depth,loss_a_total,loss_b_total,loss_a_data,loss_b_data,loss_a_l1,loss_b_l1
20,pairwise,0.04731734097003937,97,5.085542798044518e-06,0.04732242651283741,True,0.04731734097003937,0.04620194435119629,0.04339221864938736,0.04234546050429344,0.003925122320652008,0.0038564838469028473
20,pairwise,0.062788225710392,98,0.0,0.062788225710392,False,0.05064835026860237,0.062788225710392,0.04699321463704109,0.06003450229763985,0.0036551356315612793,0.0027537234127521515
20,pairwise,0.057100970298051834,99,2.916677296161546e-05,0.05713013707101345,True,0.057100970298051834,0.04781418666243553,0.05421007052063942,0.043051451444625854,0.0028908997774124146,0.004762735217809677
20,pairwise,0.04850466921925545,100,9.700183942913665e-05,0.048601671058684584,True,0.04850466921925545,0.04394352063536644,0.044652774930000305,0.039276350289583206,0.003851894289255142,0.004667170345783234
20,pairwise,0.05110427364706993,101,5.3858572151510575e-05,0.05115813221922144,True,0.05048425868153572,0.05110427364706993,0.04712749272584915,0.04786794260144234,0.003356765955686569,0.003236331045627594
20,pairwise,0.04408213496208191,102,1.4007091528323024e-09,0.04408213636279106,True,0.04408213496208191,0.04338036850094795,0.039492689073085785,0.038127344101667404,0.004589445888996124,0.005253024399280548
20,pairwise,0.061742059886455536,103,2.355834841728105e-05,0.06176561823487282,True,0.05502898991107941,0.061742059886455536,0.05224233865737915,0.059023719280958176,0.0027866512537002563,0.0027183406054973602
20,pairwise,0.04735437408089638,104,1.0263174754499005e-09,0.04735437510721385,True,0.04529023543000221,0.04735437408089638,0.040956608951091766,0.043507736176252365,0.004333626478910446,0.0038466379046440125
20,pairwise,0.04764915630221367,105,1.4303803443908858e-05,0.04766346010565758,True,0.04764915630221367,0.046083658933639526,0.043909791857004166,0.04176630079746246,0.003739364445209503,0.004317358136177063
20,pairwise,0.051340196281671524,106,0.0001452266722917553,0.05148542295396328,True,0.048575904220342636,0.051340196281671524,0.044868554919958115,0.0477084182202816,0.0037073493003845215,0.003631778061389923
20,pairwise,0.04499717429280281,107,8.940696794024205e-11,0.04499717438220978,True,0.04499717429280281,0.04069829359650612,0.04009715095162392,0.03513532131910324,0.004900023341178894,0.005562972277402878
20,pairwise,0.04911725968122482,108,9.909272222219379e-10,0.049117260672152045,True,0.04911725968122482,0.04648952931165695,0.04482613503932953,0.04193035140633583,0.004291124641895294,0.004559177905321121
20,pairwise,0.047200754284858704,109,5.8956071734429794e-05,0.04725971035659313,True,0.04667101055383682,0.047200754284858704,0.04282928258180618,0.04347517713904381,0.0038417279720306396,0.0037255771458148956
20,pairwise,0.044811610132455826,110,0.0002221366763114907,0.045033746808767317,True,0.044811610132455826,0.04278769716620445,0.04019777104258537,0.037567704916000366,0.004613839089870453,0.005219992250204086
20,pairwise,0.04639321193099022,111,4.097819326920327e-09,0.046393216028809546,True,0.038995590060949326,0.04639321193099022,0.03317190706729889,0.04244714975357056,0.005823682993650436,0.0039460621774196625
20,pairwise,0.04605381190776825,112,8.940696724635266e-10,0.04605381280183792,True,0.04605381190776825,0.04545479267835617,0.04147494211792946,0.04046803340315819,0.004578869789838791,0.004986759275197983
20,pairwise,0.044189222157001495,113,2.471134066581171e-06,0.04419169329106808,True,0.044189222157001495,0.03985713794827461,0.039693523198366165,0.03383786231279373,0.00449569895863533,0.006019275635480881
20,pairwise,0.05172944813966751,114,7.599592205531636e-10,0.05172944889962673,True,0.04419197887182236,0.05172944813966751,0.03972850739955902,0.04810972884297371,0.004463471472263336,0.003619719296693802
20,pairwise,0.04802335798740387,115,2.0687282085291026e-07,0.04802356486022472,True,0.04802335798740387,0.04770283028483391,0.04454035684466362,0.043551597744226456,0.0034830011427402496,0.004151232540607452
20,pairwise,0.04559246450662613,116,1.0424032807349048e-06,0.045593506909906864,True,0.04544926807284355,0.04559246450662613,0.040863484144210815,0.04114178195595741,0.004585783928632736,0.004450682550668716
20,pairwise,0.05883955955505371,117,0.00011145275831222351,0.058951012313365934,True,0.05883955955505371,0.04766800254583359,0.05577436462044716,0.04382937774062157,0.003065194934606552,0.003838624805212021
20,pairwise,0.05167640373110771,118,3.433556109666558e-05,0.05171073929220438,True,0.04734719917178154,0.05167640373110771,0.04341593757271767,0.04851357266306877,0.003931261599063873,0.0031628310680389404
20,pairwise,0.04804627597332001,119,1.1287629581024916e-09,0.048046277102082965,True,0.04210925102233887,0.04804627597332001,0.037069663405418396,0.04413529112935066,0.005039587616920471,0.003910984843969345
20,pairwise,0.05024247616529465,120,3.226230107247763e-05,0.050274738466367125,True,0.04575742408633232,0.05024247616529465,0.04164284095168114,0.046448539942502975,0.004114583134651184,0.0037939362227916718
